CUST_ORDER_ID,LOCATION_ID,PART_ID,TYPE,QTY,TRANSACTION_DATE,CREATE_DATE,USER_ID,PICK_HOUR,DAY_OF_WEEK,ZONE,AISLE_BIN,ORDER_SIZE,TOTAL_ORDER_QTY,PREV_LOCATION,NEXT_LOCATION,SECONDS_SINCE_LAST_PICK,LOCATION_RANK
015768,D5000000,1038196001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:51:54.983,JUDER,13,3,D,5000000,4205,16646.00000000,E4000000,D6000000,78,5
015768,D6000000,1030006001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:52:48.917,JUDER,13,3,D,6000000,4205,16646.00000000,D5000000,D8358600,54,6
015768,D8358600,1010223101,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:54:46.133,JUDER,13,3,D,8358600,4205,16646.00000000,D6000000,F7507900,118,7
015675,F7507900,1038396001,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 14:04:48.083,JUDER,14,3,F,7507900,4205,16646.00000000,D8358600,F6000000,602,1
015675,F6000000,1048001001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 14:06:31.323,JUDER,14,3,F,6000000,4205,16646.00000000,F7507900,D6000000,103,2
015675,D6000000,1040021101,O,5.00000000,2009-04-21 00:00:00.000,2009-04-21 14:09:15.123,JUDER,14,3,D,6000000,4205,16646.00000000,F6000000,E4000000,164,3
015767,E4000000,1081084001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 14:22:55.317,JUDER,14,3,E,4000000,4205,16646.00000000,D6000000,E6000000,820,1
015767,E6000000,1030026013,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 14:25:10.780,JUDER,14,3,E,6000000,4205,16646.00000000,E4000000,G8648000,135,2
015767,G8648000,1611261001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 14:26:56.953,JUDER,14,3,G,8648000,4205,16646.00000000,E6000000,G7647900,106,3
015767,G7647900,1611301001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 14:28:19.790,JUDER,14,3,G,7647900,4205,16646.00000000,G8648000,F7507900,83,4
015767,F7507900,1038396001,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 14:29:29.910,JUDER,14,3,F,7507900,4205,16646.00000000,G7647900,D7000000,70,5
015767,D7000000,1042001101,O,1.00000000,2009-04-21 00:00:00.000,2009-04-21 14:31:48.137,JUDER,14,3,D,7000000,4205,16646.00000000,F7507900,D7307100,139,6
015808,D7307100,1090103009,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 14:58:20.710,JUDER,14,3,D,7307100,4205,16646.00000000,D7000000,D7307300,1592,1
015808,D7307300,1090253009,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 14:58:52.207,JUDER,14,3,D,7307300,4205,16646.00000000,D7307100,F7000000,32,2
015808,F7000000,1094121099,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 14:59:50.830,JUDER,14,3,F,7000000,4205,16646.00000000,D7307300,E4000000,58,3
015809,E4000000,1035396101,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 15:12:01.670,JUDER,15,3,E,4000000,4205,16646.00000000,F7000000,D5000000,731,1
015809,D5000000,1035196101,O,3.00000000,2009-04-21 00:00:00.000,2009-04-21 15:14:03.720,JUDER,15,3,D,5000000,4205,16646.00000000,E4000000,D6000000,122,2
015809,D6000000,1030016001,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 15:15:09.857,JUDER,15,3,D,6000000,4205,16646.00000000,D5000000,F7507900,66,3
015809,F7507900,1038396001,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 15:16:50.217,JUDER,15,3,F,7507900,4205,16646.00000000,D6000000,G8648500,101,4
015770,G8648500,1613182001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 15:32:07.083,JUDER,15,3,G,8648500,4205,16646.00000000,F7507900,F4000000,917,1
015770,F4000000,1050065051,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 15:33:54.203,JUDER,15,3,F,4000000,4205,16646.00000000,G8648500,F4000000,107,2
015770,F4000000,1058595001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 15:35:55.813,JUDER,15,3,F,4000000,4205,16646.00000000,F4000000,F8598401,121,3
008485,F8598401,1517022201,O,1.00000000,2009-04-21 00:00:00.000,2009-04-21 17:18:06.890,JUDER,17,3,F,8598401,4205,16646.00000000,F4000000,E7000000,6131,1
015781,E7000000,1030116007,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 10:34:35.967,JUDER,10,4,E,7000000,4205,16646.00000000,F8598401,D4000000,62189,1
015820,D4000000,1019093101,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 10:43:27.810,JUDER,10,4,D,4000000,4205,16646.00000000,E7000000,D4000000,532,1
015820,D4000000,1097062059,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 10:45:07.127,JUDER,10,4,D,4000000,4205,16646.00000000,D4000000,D7000000,100,2
015820,D7000000,1010333101,O,3.00000000,2009-04-22 00:00:00.000,2009-04-22 10:48:37.020,JUDER,10,4,D,7000000,4205,16646.00000000,D4000000,C5000000,210,3
015820,C5000000,1097162009,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 10:57:09.557,JUDER,10,4,C,5000000,4205,16646.00000000,D7000000,D8308103,512,4
015820,D8308103,1097052009,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 10:58:01.837,JUDER,10,4,D,8308103,4205,16646.00000000,C5000000,D4000000,52,5
015812,D4000000,1081104001,O,3.00000000,2009-04-22 00:00:00.000,2009-04-22 11:01:59.810,JUDER,11,4,D,4000000,4205,16646.00000000,D8308103,D5000000,238,1
015812,D5000000,1030026001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 11:04:48.057,JUDER,11,4,D,5000000,4205,16646.00000000,D4000000,G8648500,169,2
015812,G8648500,1613182001,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 11:06:36.783,JUDER,11,4,G,8648500,4205,16646.00000000,D5000000,G8608400,108,3
015812,G8608400,1612201001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 11:07:15.790,JUDER,11,4,G,8608400,4205,16646.00000000,G8648500,D7307002,39,4
015812,D7307002,1090173009,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 11:08:41.830,JUDER,11,4,D,7307002,4205,16646.00000000,G8608400,D8308500,86,5
015812,D8308500,1910152009,O,12.00000000,2009-04-22 00:00:00.000,2009-04-22 11:11:16.383,JUDER,11,4,D,8308500,4205,16646.00000000,D7307002,D7307500,155,6
015812,D7307500,1090123009,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 11:12:20.933,JUDER,11,4,D,7307500,4205,16646.00000000,D8308500,C4000000,64,7
015815,C4000000,1030096001,O,16.00000000,2009-04-22 00:00:00.000,2009-04-22 11:18:14.240,JUDER,11,4,C,4000000,4205,16646.00000000,D7307500,C4000000,354,1
015815,C4000000,1030076001,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 11:19:45.610,JUDER,11,4,C,4000000,4205,16646.00000000,C4000000,C4000000,91,2
015815,C4000000,1030116001,O,20.00000000,2009-04-22 00:00:00.000,2009-04-22 11:28:46.850,JUDER,11,4,C,4000000,4205,16646.00000000,C4000000,D5000000,541,3
015815,D5000000,1035196101,O,5.00000000,2009-04-22 00:00:00.000,2009-04-22 11:36:27.947,JUDER,11,4,D,5000000,4205,16646.00000000,C4000000,E4000000,461,4
015815,E4000000,1035396101,O,10.00000000,2009-04-22 00:00:00.000,2009-04-22 11:42:15.100,JUDER,11,4,E,4000000,4205,16646.00000000,D5000000,F8508101,348,5
015815,F8508101,1038396001,O,24.00000000,2009-04-22 00:00:00.000,2009-04-22 11:54:01.960,JUDER,11,4,F,8508101,4205,16646.00000000,E4000000,E5000000,706,6
015927,E5000000,1310273001,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 12:11:01.233,JUDER,12,4,E,5000000,4205,16646.00000000,F8508101,E5000000,1020,1
015927,E5000000,1310273009,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 12:11:40.143,JUDER,12,4,E,5000000,4205,16646.00000000,E5000000,F4000000,39,2
015927,F4000000,1050025051,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 12:12:56.277,JUDER,12,4,F,4000000,4205,16646.00000000,E5000000,C4000000,76,3
015927,C4000000,1097062009,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 12:14:35.390,JUDER,12,4,C,4000000,4205,16646.00000000,F4000000,D6000000,99,4
015927,D6000000,1030016001,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 12:15:27.830,JUDER,12,4,D,6000000,4205,16646.00000000,C4000000,C5000000,52,5
015927,C5000000,1097162009,O,6.00000000,2009-04-22 00:00:00.000,2009-04-22 12:17:55.087,JUDER,12,4,C,5000000,4205,16646.00000000,D6000000,D7307100,148,6
015927,D7307100,1090103009,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 12:19:38.903,JUDER,12,4,D,7307100,4205,16646.00000000,C5000000,D7307702,103,7
015927,D7307702,1090253009,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 12:20:26.817,JUDER,12,4,D,7307702,4205,16646.00000000,D7307100,D7307000,48,8
015927,D7307000,1091013009,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 12:21:36.073,JUDER,12,4,D,7307000,4205,16646.00000000,D7307702,D4000000,70,9
015955,D4000000,1019093101,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 12:45:59.520,JUDER,12,4,D,4000000,4205,16646.00000000,D7307000,E4000000,1463,1
015955,E4000000,1081084001,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 12:47:13.290,JUDER,12,4,E,4000000,4205,16646.00000000,D4000000,D6000000,74,2
015955,D6000000,1030006001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 12:48:27.520,JUDER,12,4,D,6000000,4205,16646.00000000,E4000000,D8398600,74,3
015955,D8398600,1098062009,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 12:54:31.050,JUDER,12,4,D,8398600,4205,16646.00000000,D6000000,D4000000,364,4
015780,D4000000,1019093101,O,3.00000000,2009-04-22 00:00:00.000,2009-04-22 13:38:49.270,JUDER,13,4,D,4000000,4205,16646.00000000,D8398600,E4000000,2658,1
015780,E4000000,1083311001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 13:40:39.010,JUDER,13,4,E,4000000,4205,16646.00000000,D4000000,D4000000,110,2
015780,D4000000,1083321001,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 13:42:19.770,JUDER,13,4,D,4000000,4205,16646.00000000,E4000000,F8508002,100,3
015780,F8508002,1083311007,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 13:43:49.507,JUDER,13,4,F,8508002,4205,16646.00000000,D4000000,F8548100,90,4
015780,F8548100,1083321007,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 13:44:48.170,JUDER,13,4,F,8548100,4205,16646.00000000,F8508002,D7000000,59,5
015780,D7000000,1010333103,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 13:46:05.313,JUDER,13,4,D,7000000,4205,16646.00000000,F8548100,E7000000,77,6
015765,E7000000,1030096007,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 13:56:51.830,JUDER,13,4,E,7000000,4205,16646.00000000,D7000000,C4000000,646,1
015765,C4000000,1030076001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 13:58:36.400,JUDER,13,4,C,4000000,4205,16646.00000000,E7000000,D4000000,105,2
015765,D4000000,1081104001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 14:00:09.930,JUDER,14,4,D,4000000,4205,16646.00000000,C4000000,E4000000,93,3
015765,E4000000,1081084001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 14:01:23.660,JUDER,14,4,E,4000000,4205,16646.00000000,D4000000,E5000000,74,4
015765,E5000000,1030016007,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 14:03:09.130,JUDER,14,4,E,5000000,4205,16646.00000000,E4000000,C4000000,106,5
015765,C4000000,1097062009,O,8.00000000,2009-04-22 00:00:00.000,2009-04-22 14:05:05.747,JUDER,14,4,C,4000000,4205,16646.00000000,E5000000,D5000000,116,6
015765,D5000000,1035196101,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 14:06:46.137,JUDER,14,4,D,5000000,4205,16646.00000000,C4000000,D6000000,101,7
015765,D6000000,1030006001,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 14:08:12.727,JUDER,14,4,D,6000000,4205,16646.00000000,D5000000,E8408603,86,8
015765,E8408603,1096161009,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 14:10:11.067,JUDER,14,4,E,8408603,4205,16646.00000000,D6000000,G8648000,119,9
015765,G8648000,1611261001,O,4.00000000,2009-04-22 00:00:00.000,2009-04-22 14:13:13.567,JUDER,14,4,G,8648000,4205,16646.00000000,E8408603,D8398600,182,10
015974,D8398600,1098062009,O,6.00000000,2009-04-22 00:00:00.000,2009-04-22 14:17:05.077,JUDER,14,4,D,8398600,4205,16646.00000000,G8648000,D7307900,232,1
015974,D7307900,1090153009,O,5.00000000,2009-04-22 00:00:00.000,2009-04-22 14:20:08.520,JUDER,14,4,D,7307900,4205,16646.00000000,D8398600,D7307900,183,2
015974,D7307900,1090153009,O,5.00000000,2009-04-22 00:00:00.000,2009-04-22 14:20:43.597,JUDER,14,4,D,7307900,4205,16646.00000000,D7307900,D4000000,35,3
015765,D4000000,1097062059,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 14:28:47.970,JUDER,14,4,D,4000000,4205,16646.00000000,D7307900,D4000000,484,11
015861,D4000000,1083321001,O,1.00000000,2009-04-22 00:00:00.000,2009-04-22 14:34:35.367,JUDER,14,4,D,4000000,4205,16646.00000000,D4000000,E4000000,348,1
015861,E4000000,1081084001,O,3.00000000,2009-04-22 00:00:00.000,2009-04-22 14:35:59.557,JUDER,14,4,E,4000000,4205,16646.00000000,D4000000,E4000000,84,2
015861,E4000000,1083311001,O,3.00000000,2009-04-22 00:00:00.000,2009-04-22 14:37:24.310,JUDER,14,4,E,4000000,4205,16646.00000000,E4000000,D7000000,85,3
015861,D7000000,1010333103,O,3.00000000,2009-04-22 00:00:00.000,2009-04-22 14:39:30.817,JUDER,14,4,D,7000000,4205,16646.00000000,E4000000,D8358503,126,4
015861,D8358503,1910152009,O,6.00000000,2009-04-22 00:00:00.000,2009-04-22 14:40:36.550,JUDER,14,4,D,8358503,4205,16646.00000000,D7000000,D5000000,66,5
015853,D5000000,1035196101,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 15:02:07.630,JUDER,15,4,D,5000000,4205,16646.00000000,D8358503,C4000000,1291,1
